chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,UniqueId,teams.code,teams.draw,teams.form,teams.id,teams.loss,teams.name,teams.played,teams.points,teams.position,teams.short_name,teams.strength,teams.team_division,teams.unavailable,teams.win,teams.strength_overall_home,teams.strength_overall_away,teams.strength_attack_home,teams.strength_attack_away,teams.strength_defence_home,teams.strength_defence_away,positions.id,positions.plural_name,positions.plural_name_short,positions.singular_name,positions.singular_name_short,positions.squad_select,positions.squad_min_play,positions.squad_max_play,positions.ui_shirt_specific,positions.sub_positions_locked
100,100,15237,0,0,-2,2,0,3,0.2,-0.3,0,Andrew,0.2,80,FALSE,,2019-06-25T11:30:07.022396Z,48,15237.jpg,1,Surman,0,FALSE,,a,3,91,3,750,20,2782,73,0,0.6,Surman,57,0,0,0,1,0,0,0,0,0,0,0,9,6.4,2.2,0,0.9,Surman(15237),91,0,,3,0,Bournemouth,0,0,0,BOU,3,,FALSE,0,1060,1120,1020,1070,1110,1150,3,Midfielders,MID,Midfielder,MID,5,2,5,FALSE,[List]
,,152551,0,0,-2,2,0,3,1.2,0.7,2,Jefferson,1.2,82,FALSE,,,48,152551.jpg,1.4,Lerma,0.2,FALSE,,a,3,91,11,5621,148,11826,269,0.3,2.3,Lerma,643,0,0,0,12,0,0,0,4,0,0,0,84,87.4,25.1,12,12.4,Lerma(152551),91,0,,3,0,Bournemouth,0,0,0,BOU,3,,FALSE,0,1060,1120,1020,1070,1110,1150,3,Midfielders,MID,Midfielder,MID,5,2,5,FALSE,[List]
,,154131,0,0,-1,1,0,2,1.2,0.7,1,Jack,1.2,446,FALSE,,,44,154131.jpg,1.2,Stacey,0.1,FALSE,,a,3,91,5,1779,95,5569,142,0.3,1.1,Stacey,346,0,0,0,5,0,0,0,2,0,0,0,40,65.8,14.7,19,10,Stacey(154131),91,0,,3,0,Bournemouth,0,0,0,BOU,3,,FALSE,0,1060,1120,1020,1070,1110,1150,2,Defenders,DEF,Defender,DEF,5,3,5,FALSE,[List]
,,168991,0,0,0,0,0,3,2.5,2,1,Philip,2.5,476,FALSE,,,50,168991.jpg,1.9,Billing,0.2,FALSE,,a,3,91,15,9675,357,10161,449,0.5,3,Billing,673,0,1,0,12,0,0,0,3,0,0,0,97,146.6,59.1,95,30.1,Billing(168991),91,0,,3,0,Bournemouth,0,0,0,BOU,3,,FALSE,0,1060,1120,1020,1070,1110,1150,3,Midfielders,MID,Midfielder,MID,5,2,5,FALSE,[List]
100,100,220307,0,0,-2,2,0,3,0.5,0,1,Arnaut,0.5,492,FALSE,,2019-08-12T10:00:14.019366Z,58,220307.jpg,1,Danjuma Groeneveld,0,FALSE,,a,3,91,2,339,44,3693,33,0.1,0.3,Danjuma,24,0,0,0,0,0,0,0,0,0,0,0,6,5.2,0.3,7,1.2,Danjuma(220307),91,0,,3,0,Bournemouth,0,0,0,BOU,3,,FALSE,0,1060,1120,1020,1070,1110,1150,3,Midfielders,MID,Midfielder,MID,5,2,5,FALSE,[List]
100,100,86153,0,0,0,0,0,2,3.2,2.2,6,Martín,3.2,38,FALSE,,2019-09-14T16:30:10.724610Z,45,86153.jpg,3,Montoya,0.7,FALSE,,a,4,36,21,47198,1380,49634,995,0.7,4.7,Montoya,630,0,0,3,9,0,0,0,1,0,0,0,101,102.6,91.3,28,22.3,Montoya(86153),36,0,,4,0,Brighton,0,0,0,BHA,2,,FALSE,0,1000,1080,1050,1090,1030,1060,2,Defenders,DEF,Defender,DEF,5,3,5,FALSE,[List]
100,100,52484,0,0,-1,1,0,2,0,-1,0,Leon,0,40,FALSE,,2019-09-12T13:00:14.154646Z,44,52484.jpg,0,Balogun,0.1,FALSE,,a,4,36,0,619,34,3556,51,0,0,Balogun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Balogun(52484),36,0,,4,0,Brighton,0,0,0,BHA,2,,FALSE,0,1000,1080,1050,1090,1030,1060,2,Defenders,DEF,Defender,DEF,5,3,5,FALSE,[List]
,,42748,0,0,-1,1,0,2,0.8,-0.2,1,Gaëtan,0.8,41,FALSE,,,44,42748.jpg,0.8,Bong,0.1,FALSE,,a,4,36,3,1287,71,4915,148,0.2,0.7,Bong,57,0,0,0,3,0,0,0,0,0,0,0,15,16,27.9,6,5,Bong(42748),36,0,,4,0,Brighton,0,0,0,BHA,2,,FALSE,0,1000,1080,1050,1090,1030,1060,2,Defenders,DEF,Defender,DEF,5,3,5,FALSE,[List]
100,100,165210,0,0,-2,2,0,3,0,-1,0,Alireza,0,50,FALSE,,2019-09-19T14:00:12.919069Z,58,165210.jpg,0,Jahanbakhsh,0.1,FALSE,,a,4,36,0,541,36,4061,71,0,0,Jahanbakhsh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jahanbakhsh(165210),36,0,,4,0,Brighton,0,0,0,BHA,2,,FALSE,0,1000,1080,1050,1090,1030,1060,3,Midfielders,MID,Midfielder,MID,5,2,5,FALSE,[List]
100,100,227127,0,0,0,0,0,3,0.8,-0.2,1,Yves,0.8,53,FALSE,,2019-06-25T11:30:06.944296Z,50,227127.jpg,1,Bissouma,0,FALSE,,a,4,36,3,296,41,299,38,0.2,0.6,Bissouma,63,0,0,0,0,0,0,0,0,0,0,0,10,7.6,9.1,7,2.4,Bissouma(227127),36,0,,4,0,Brighton,0,0,0,BHA,2,,FALSE,0,1000,1080,1050,1090,1030,1060,3,Midfielders,MID,Midfielder,MID,5,2,5,FALSE,[List]
,,40845,0,0,0,0,0,3,2.2,1.2,2,Dale,2.2,57,FALSE,,,45,40845.jpg,2.2,Stephens,2.9,FALSE,,a,4,36,18,121553,4678,132766,5101,0.5,4,Stephens,706,0,0,3,9,0,0,0,1,0,0,0,110,118,59.1,61,23.9,Stephens(40845),36,0,,4,0,Brighton,0,0,0,BHA,2,,FALSE,0,1000,1080,1050,1090,1030,1060,3,Midfielders,MID,Midfielder,MID,5,2,5,FALSE,[List]
,,78916,0,0,0,0,0,2,3.8,2.8,6,Dan,3.8,475,FALSE,,,45,78916.jpg,3,Burn,0.3,FALSE,,a,4,36,24,16068,1645,9187,426,0.8,5.3,Burn,720,0,0,3,10,0,0,0,0,0,0,0,125,143.8,106,59,30.8,Burn(78916),36,0,,4,0,Brighton,0,0,0,BHA,2,,FALSE,0,1000,1080,1050,1090,1030,1060,2,Defenders,DEF,Defender,DEF,5,3,5,FALSE,[List]
,,74471,0,0,-2,2,0,3,2.2,1.2,3,Aaron,2.2,516,FALSE,,,48,74471.jpg,2,Mooy,0.2,FALSE,,a,4,36,10,5520,984,14259,299,0.5,2.1,Mooy,238,0,0,2,2,0,0,0,0,0,0,0,44,51,32.1,10,9.3,Mooy(74471),36,0,,4,0,Brighton,0,0,0,BHA,2,,FALSE,0,1000,1080,1050,1090,1030,1060,3,Midfielders,MID,Midfielder,MID,5,2,5,FALSE,[List]
,,213056,0,0,0,0,0,2,0,-1,0,Tudor,0,536,FALSE,,,40,213056.jpg,0,Baluta,0.2,FALSE,,a,4,36,0,10566,1194,3312,606,0,0,Baluta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Baluta(213056),36,0,,4,0,Brighton,0,0,0,BHA,2,,FALSE,0,1000,1080,1050,1090,1030,1060,2,Defenders,DEF,Defender,DEF,5,3,5,FALSE,[List]
,,74375,0,0,0,0,0,2,0,-1,0,Ezequiel,0,546,FALSE,,,40,74375.jpg,0,Schelotto,0,FALSE,,a,4,36,0,1875,613,496,220,0,0,Schelotto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Schelotto(74375),36,0,,4,0,Brighton,0,0,0,BHA,2,,FALSE,0,1000,1080,1050,1090,1030,1060,2,Defenders,DEF,Defender,DEF,5,3,5,FALSE,[List]
,,51927,0,0,0,0,0,2,3.8,3.8,6,Ben,3.8,83,FALSE,,,50,51927.jpg,3.1,Mee,1,FALSE,,a,5,90,25,32699,1969,28081,1059,0.8,5,Mee,720,0,0,3,9,0,0,0,0,0,0,0,123,162.2,31.9,50,24.5,Mee(51927),90,0,,5,0,Burnley,0,0,0,BUR,3,,FALSE,0,1080,1100,1000,1050,1050,1060,2,Defenders,DEF,Defender,DEF,5,3,5,FALSE,[List]
,,68983,0,0,0,0,0,2,4.5,4.5,6,Matthew,4.5,85,FALSE,,,45,68983.jpg,3.5,Lowton,1.1,FALSE,,a,5,90,28,78598,7133,28931,2274,1,6.2,Lowton,720,0,1,3,9,0,0,0,0,0,0,0,141,156.2,136.4,11,30.5,Lowton(68983),90,0,,5,0,Burnley,0,0,0,BUR,3,,FALSE,0,1080,1100,1000,1050,1050,1060,2,Defenders,DEF,Defender,DEF,5,3,5,FALSE,[List]
,,17997,0,0,-1,1,0,2,0,0,0,Phil,0,86,FALSE,,,44,17997.jpg,0,Bardsley,0.1,FALSE,,a,5,90,0,1675,46,5848,164,0,0,Bardsley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bardsley(17997),90,0,,5,0,Burnley,0,0,0,BUR,3,,FALSE,0,1080,1100,1000,1050,1050,1060,2,Defenders,DEF,Defender,DEF,5,3,5,FALSE,[List]
